Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8245,0.14177215189873418,0.8235294117647058,0.24190064794816415,0.9069540859822189
Decision Tree,0.955,0.41911764705882354,0.8382352941176471,0.5588235294117647,0.909043508707831
Random Forest,0.9785,0.7272727272727273,0.5882352941176471,0.6504065040650406,0.9722704299110949
